รหัสนักเรียน,ชื่อ-นามสกุล,เพศ,อายุ,ระดับชั้น,โรงเรียน,เบอร์โทรติดต่อ,รหัสคอร์ส,ชื่อคอร์ส,รายวิชา,อาจารย์ผู้สอน,ราคา(บาท),จำนวนรับสูงสุด,จำนวนผู้ลงทะเบียน,ที่นั่งคงเหลือ,รหัสการลงทะเบียน,วันที่ลงทะเบียน,ส่วนลด,ยอดชำระสุทธิ (บาท),สถานะการลงทะเบียน,รหัสการชำระเงิน,จำนวนเงินที่ชำระ(บาท),ช่องทางการชำระเงิน,วันที่ชำระเงิน,สถานะการชำระเงิน
STU0001,ธัญญารัตน์ ธรรมวงศ์,หญิง,18,ม.6,โรงเรียนขอนแก่นพัฒนศึกษา,087-4098086,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,1,2026-08-04,0.1,3060.0,ลงทะเบียนสำเร็จ,1.0,3060.0,โอนธนาคาร,2026-08-04,ชำระเงินแล้ว
STU0002,ธัญชนก รัตนกุล,หญิง,17,ม.6,โรงเรียนแก่นนครวิทยาลัย,085-2521199,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,2,2026-07-21,0.05,3325.0,ลงทะเบียนสำเร็จ,2.0,3325.0,โอนธนาคาร,2026-07-21,ชำระเงินแล้ว
STU0003,ณัฐดนัย วัฒนกุล,ชาย,18,ม.6,โรงเรียนขอนแก่นพัฒนศึกษา,081-9864766,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,3,2026-08-01,0.05,3230.0,ลงทะเบียนสำเร็จ,3.0,3230.0,เงินสด,2026-08-01,ชำระเงินแล้ว
STU0004,กวิน ทองคำ,ชาย,15,ม.4,โรงเรียนขอนแก่นพัฒนศึกษา,081-8783528,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,4,2026-06-16,0.0,3500.0,ลงทะเบียนสำเร็จ,4.0,3500.0,บัตรเครดิต,2026-06-16,ชำระเงินแล้ว
STU0005,พิชญ์สินี จันทร์ดี,หญิง,16,ม.5,โรงเรียนแก่นนครวิทยาลัย,097-1077070,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,5,2026-07-22,0.1,2520.0,ลงทะเบียนสำเร็จ,5.0,2520.0,เงินสด,2026-07-22,ชำระเงินแล้ว
STU0006,ธนวัฒน์ ศรีสวัสดิ์,ชาย,17,ม.5,โรงเรียนแก่นนครวิทยาลัย,092-4853154,C009,ชีววิทยา A-Level,ชีววิทยา,ครูแพรว,3300,40,38,2,6,2026-06-20,0.0,3300.0,ลงทะเบียนสำเร็จ,6.0,3300.0,เงินสด,2026-06-20,ชำระเงินแล้ว
STU0007,อัญชิสา ทองดี,หญิง,15,ม.4,โรงเรียนนครขอนแก่น,084-5880540,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,7,2026-08-12,0.0,3400.0,ลงทะเบียนสำเร็จ,7.0,3400.0,พร้อมเพย์,2026-08-12,ชำระเงินแล้ว
STU0008,สุชาดา ใจดี,หญิง,15,ม.4,โรงเรียนกัลยาณวัตร,087-1877827,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,8,2026-08-17,0.0,3500.0,ลงทะเบียนสำเร็จ,8.0,3500.0,โอนธนาคาร,2026-08-17,ชำระเงินแล้ว
STU0009,สุพิชญา ธรรมรักษ์,หญิง,17,ม.5,โรงเรียนขอนแก่นพัฒนศึกษา,087-5526083,C004,ชีววิทยา ม.ปลาย,ชีววิทยา,ครูแพรว,2700,40,40,0,9,2026-07-27,0.0,2700.0,ลงทะเบียนสำเร็จ,9.0,2700.0,โอนธนาคาร,2026-07-27,ชำระเงินแล้ว
STU0010,อริสา ศรีสุข,หญิง,16,ม.4,โรงเรียนนครขอนแก่น,084-3258154,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,10,2026-07-18,0.05,2375.0,ลงทะเบียนสำเร็จ,10.0,2375.0,พร้อมเพย์,2026-07-18,ชำระเงินแล้ว
STU0011,กิตติ พัฒนกุล,ชาย,17,ม.6,โรงเรียนขอนแก่นวิทยาลัย,097-3980944,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,11,2026-06-02,0.0,3500.0,ลงทะเบียนสำเร็จ,11.0,3500.0,เงินสด,2026-06-02,ชำระเงินแล้ว
STU0012,ปัณณวิชญ์ สมบูรณ์,ชาย,16,ม.5,โรงเรียนนครขอนแก่น,094-2954679,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,12,2026-08-01,0.0,2800.0,ลงทะเบียนสำเร็จ,12.0,2800.0,บัตรเครดิต,2026-08-01,ชำระเงินแล้ว
STU0013,พิมพ์ชนก สุขเกษม,หญิง,16,ม.5,โรงเรียนขอนแก่นพัฒนศึกษา,091-1329348,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,13,2026-06-21,0.0,2700.0,ลงทะเบียนสำเร็จ,13.0,2700.0,บัตรเครดิต,2026-06-21,ชำระเงินแล้ว
STU0014,ภูวดล วิไลวรรณ,ชาย,16,ม.4,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),085-4577630,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,14,2026-06-09,0.0,2700.0,ลงทะเบียนสำเร็จ,14.0,2700.0,เงินสด,2026-06-09,ชำระเงินแล้ว
STU0015,ญาดา บุญธรรม,หญิง,16,ม.5,โรงเรียนแก่นนครวิทยาลัย,094-2231423,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,15,2026-06-20,0.1,2880.0,ลงทะเบียนสำเร็จ,15.0,2880.0,โอนธนาคาร,2026-06-20,ชำระเงินแล้ว
STU0016,ณัฐภัทร ศรีบุญเรือง,ชาย,15,ม.4,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),093-7236159,C004,ชีววิทยา ม.ปลาย,ชีววิทยา,ครูแพรว,2700,40,40,0,16,2026-07-28,0.05,2565.0,ลงทะเบียนสำเร็จ,16.0,2565.0,เงินสด,2026-07-28,ชำระเงินแล้ว
STU0017,อัญชิสา รัตนวงศ์,หญิง,16,ม.4,โรงเรียนนครขอนแก่น,086-3585961,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,17,2026-06-07,0.1,2430.0,ลงทะเบียนสำเร็จ,17.0,2430.0,เงินสด,2026-06-07,ชำระเงินแล้ว
STU0018,ธิดารัตน์ ไพศาล,หญิง,15,ม.4,โรงเรียนขอนแก่นวิทยายน,099-4298229,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,18,2026-07-13,0.0,2500.0,ลงทะเบียนสำเร็จ,18.0,2500.0,เงินสด,2026-07-13,ชำระเงินแล้ว
STU0019,สุพิชญา แสงทอง,หญิง,16,ม.5,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),084-1649219,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,19,2026-06-10,0.05,2565.0,ลงทะเบียนสำเร็จ,19.0,2565.0,พร้อมเพย์,2026-06-10,ชำระเงินแล้ว
STU0020,ณิชกานต์ บุญเลิศ,หญิง,16,ม.4,โรงเรียนขอนแก่นพัฒนศึกษา,097-5923028,C002,ฟิสิกส์ ม.ปลาย,ฟิสิกส์,ครูเอก,2800,40,40,0,20,2026-06-05,0.1,2520.0,ลงทะเบียนสำเร็จ,20.0,2520.0,พร้อมเพย์,2026-06-05,ชำระเงินแล้ว
STU0021,ณัฐวุฒิ จันทร์ดี,ชาย,17,ม.6,โรงเรียนขอนแก่นวิทยาลัย,099-2243864,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,21,2026-07-22,0.05,3325.0,ลงทะเบียนสำเร็จ,21.0,3325.0,พร้อมเพย์,2026-07-22,ชำระเงินแล้ว
STU0022,อริสรา สายทอง,หญิง,15,ม.4,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),089-7902592,C004,ชีววิทยา ม.ปลาย,ชีววิทยา,ครูแพรว,2700,40,40,0,22,2026-08-17,0.0,2700.0,ลงทะเบียนสำเร็จ,22.0,2700.0,เงินสด,2026-08-17,ชำระเงินแล้ว
